level,,8,16,32,64,128
0.00025,25.7694,25.7694,25.7487,25.6452,25.4199,23.6365
0.001,21.8891,21.8398,21.8094,21.4421,21.1406,19.0548
0.0025,19.6709,19.6058,19.5081,19.1385,18.6304,7.55909
